School_Name,District_Name,Chronic_Absenteeism_Rate,Dropout_0708,Dropout_0912,SAT_Avg,ACT_Avg,Teacher_Student_Ratio,Meets_GL_STD
ARNOLD EL,SAN ANTONIO ISD,8.7,.,.,.,.,14.3,17
ARNOLD MIDDLE,CYPRESS-FAIRBANKS ISD,4.6,0.1,.,.,.,15.3,54
ARNOLDO CANTU SR EL,PHARR-SAN JUAN-ALAMO ISD,3.9,.,.,.,.,15.4,27
ARP COOP ALTERNATIVE SCHOOL,WEST RUSK COUNTY CONSOLIDATED ISD,16.7,-1,0,.,.,.,.
ARP EL,ARP ISD,2.1,.,.,.,.,12.7,33
ARP H S,ARP ISD,8.5,.,0,1053,20.4,9.7,71
ARP J H,ARP ISD,5.4,0,.,.,.,12.4,38
ARROW ACADEMY - CHAMPIONS ACADEMY,ARROW ACADEMY,11.6,.,.,.,.,15.7,30
ARROW ACADEMY - HARVEST PREPARATORY ACADEMY,ARROW ACADEMY,19.2,.,.,.,.,16.6,15
ARROW ACADEMY - LIBERATION ACADEMY,ARROW ACADEMY,1.2,.,.,.,.,18.2,32
ARROW ACADEMY - SAVE OUR STREETS CENTER,ARROW ACADEMY,20.9,.,.,.,.,11.6,27
ART AND PAT GOFORTH EL,CLEAR CREEK ISD,3.4,.,.,.,.,16.6,54
